Time,GPS_Long,GPS_Lat,GPS_Alt,SDn,SDe,SDu,GPS_Status,IMU_AngVelX,IMU_AngVelY,IMU_AngVelZ,IMU_LinearAccX,IMU_LinearAccY,IMU_LinearAccZ
rospy.Time[1638475982063525552],-65.07616633,44.95533039,8.583,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475982267412207],-65.07616141,44.95533479,8.583,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475982472560874],-65.07615687,44.9553397,8.585,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475982664143607],-65.07615275,44.95534504,8.604,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475982857396548],-65.07614894,44.95535108,8.62,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475983073214072],-65.07614572,44.95535739,8.621,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475983256835890],-65.07614284,44.9553643,8.641,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475983465307820],-65.07614059,44.9553718,8.647,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475983657865646],-65.07613898,44.95537963,8.644,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475983855204348],-65.0761376,44.95538779,8.689,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475984058056468],-65.07613736,44.95539652,8.711,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475984255669626],-65.07613844,44.95540563,8.717,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475984461178895],-65.07613975,44.95541516,8.73,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475984657112580],-65.07614138,44.95542503,8.762,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475984854341726],-65.07614397,44.95543548,8.781,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475985077790687],-65.07614736,44.9554463,8.78,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475985258575387],-65.07615048,44.95545762,8.805,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475985460765985],-65.07615428,44.95546922,8.832,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475985654539505],-65.07615916,44.95548112,8.841,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475985851848054],-65.07616441,44.95549341,8.869,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475986059972874],-65.07617062,44.95550604,8.873,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475986254616436],-65.07617739,44.95551891,8.901,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475986457445626],-65.07618464,44.95553196,8.939,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475986659965315],-65.07619266,44.95554544,8.978,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475986851955114],-65.07620068,44.95555968,9.031,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475987067084912],-65.07620973,44.95557404,9.062,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475987255021865],-65.07621902,44.95558873,9.078,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475987452853879],-65.07622807,44.95560372,9.113,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475987668244836],-65.07623748,44.95561904,9.175,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475987852336193],-65.07624736,44.95563468,9.222,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475988059435182],-65.07625725,44.95565085,9.265,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475988254553392],-65.07626734,44.95566733,9.306,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475988456664030],-65.07627762,44.95568401,9.356,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475988660477891],-65.07628827,44.95570116,9.427,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475988854754984],-65.07629902,44.95571858,9.495,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475989062878212],-65.07630997,44.95573643,9.564,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475989254922488],-65.07632108,44.95575469,9.628,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475989468917885],-65.07633242,44.95577324,9.696,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
